text,label
"Способ сделать текст более эффективным для аудитории",high
"Как улучшить текст за счёт ясности формулировок",high
"Почему важно писать просто и по делу",high
"Как текст влияет на поведение читателя",high
"Что делает текст убедительным",high
"Как написать текст, который легко воспринимается",high

"В статье рассматриваются методы улучшения текстов!",medium
"Описание подходов к анализу текстовой информации",medium
"Материал посвящён особенностям текстов",medium
"Обзор способов работы с текстами",medium
"Рассматриваются методы создания текста",medium
"Описание структуры текста",medium
"Основные принципы написания текстов",medium
"Подходы к созданию текстового контента",medium
"Описание методов анализа текста",medium
"Рассматриваются характеристики текстов",medium
"Материал содержит информацию о тексте",medium
"Описание особенностей текста",medium
"В статье представлены основные методы",medium
"Обзор текстовых подходов",medium
"Описание способов улучшения текста",medium
"Рассматриваются методы написания текста",medium
"Основные идеи работы с текстом",medium
"Описание структуры текстов",medium
"Материал содержит обзор методов",medium
"Рассматриваются принципы текста",medium
"Описание характеристик текста",medium
"Материал посвящён анализу!",medium
"Обзор методов текста",medium
"Описание подходов к тексту",medium
"Рассматриваются особенности структуры!",medium
"Материал содержит описание подходов",medium
"Описание методов создания текста",medium
"Обзор характеристик текста",medium
"Рассматриваются идеи текста",medium
"Описание структуры информации",medium
"Материал посвящён текстовой информации",medium
"Описание методов анализа информации",medium
"Рассматриваются способы текста",medium
"Обзор текстовых характеристик",medium
"Описание подходов к информации",medium
"Материал содержит описание структуры",medium
"Рассматриваются методы информации",medium
"Описание принципов текста",medium
"Обзор текстовой информации",medium
"Описание методов работы с текстом",medium

"Текст содержит информацию",low
"Описание документа",low
"Материал включает сведения",low
"Данный текст описывает объект!",low
"Информация представлена в тексте",low
"Описание данных!",low
"Материал содержит описание",low
"Текст включает информацию",low
"Документ содержит данные",low
"Описание текста",low
"Информация о материале",low
"Текст содержит сведения",low
"Документ включает информацию",low
"Описание предмета",low
"Материал описывает объект",low
"Текст содержит описание данных",low
"Информация представлена",low
"Документ описывает материал",low
"Материал содержит текст",low
"Описание информации!",low
"Текст описывает данные!",low
"Документ содержит сведения!",low
"Материал включает описание данных",low
"Описание текста документа!",low
"Информация в документе!",low
"Текст содержит данные!",low
"Описание материала",low
"Документ включает описание",low
"Материал содержит информацию о данных",low
"Текстовый материал!",low
"Документ содержит текстовую информацию",low
"Описание информации в тексте",low
"Материал включает сведения о данных",low
"Текст описывает материал",low
"Документ содержит описание информации",low
"Материал содержит описание объекта",low
"Информация представлена в документе",low
"Текст содержит описание информации",low
"Документ включает текст",low
"Материал содержит данные о тексте",low

"Смартфон с батареей, которая держится до двух дней без подзарядки",high
"Ноутбук, который запускается за секунды и не тормозит при работе",high
"Кроссовки, в которых удобно ходить целый день без усталости",high
"Кофемашина, которая готовит напиток как в кофейне у вас дома",high
"Приложение для изучения языка, которое подстраивается под ваш уровень",high
"Наушники с чистым звуком и шумоподавлением для работы и отдыха",high
"Рюкзак с удобной системой хранения для ежедневных задач",high
"Сервис доставки, который привозит продукты точно ко времени",high
"Часы, которые помогают отслеживать здоровье и активность",high
"Пылесос, который справляется с уборкой без лишних усилий",high
"Курс, который помогает освоить профессию с нуля за несколько месяцев",high
"Планшет, который удобно использовать для работы и развлечений",high
"Фитнес-приложение, которое помогает не бросать тренировки",high
"Банк, в котором можно открыть счёт за несколько минут",high
"Сервис для хранения файлов с быстрым доступом с любого устройства",high
"Кресло, в котором комфортно работать весь день",high
"Игровая консоль с плавной графикой и быстрым откликом",high
"Телевизор с чётким изображением и глубоким цветом",high
"Онлайн-сервис, который упрощает работу с документами",high
"Система умного дома, которая экономит время и ресурсы",high
"Беспроводная колонка с насыщенным звуком и долгой работой",high
"Приложение для планирования задач с удобным интерфейсом!",high
"Фотоаппарат, который делает качественные снимки в любых условиях",high
"Электросамокат, который подходит для ежедневных поездок по городу",high
"Сервис для создания сайтов без навыков программирования",high
"Образовательная платформа с понятными и структурированными курсами",high
"Микрофон, который делает голос чистым и профессиональным",high
"Смарт-часы с точным отслеживанием активности",high
"Клавиатура, на которой удобно печатать долгое время",high
"Монитор с высокой чёткостью для работы и игр",high
"Сервис аналитики, который показывает ключевые показатели бизнеса",high
"Приложение для заметок с быстрым поиском информации",high
"Гаджет, который помогает организовать рабочее пространство",high
"Онлайн-магазин с удобной навигацией и быстрым оформлением заказа",high
"Инструмент, который ускоряет выполнение рутинных задач",high
"Сервис, который помогает экономить время на повседневных делах",high
"Продукт, который решает конкретную задачу без лишних функций",high
"Приложение, которое делает работу более структурированной",high
"Система, которая упрощает управление проектами",high
"Сервис, который помогает лучше контролировать финансы",high


"Смартфон с большим экраном!",medium
"Ноутбук для работы и учёбы",medium
"Кроссовки для повседневного использования!",medium
"Кофемашина для приготовления кофе",medium
"Приложение для изучения языка",medium
"Наушники для прослушивания музыки",medium
"Рюкзак для хранения вещей",medium
"Сервис доставки продуктов",medium
"Часы для отслеживания времени",medium
"Пылесос для уборки дома",medium
"Курс по обучению новой профессии",medium
"Планшет для различных задач",medium
"Фитнес-приложение для тренировок!",medium
"Банк с различными услугами",medium
"Сервис для хранения данных",medium
"Кресло для работы",medium
"Игровая консоль",medium
"Телевизор для просмотра видео",medium
"Онлайн-сервис для работы с документами",medium
"Система умного дома",medium
"Беспроводная колонка",medium
"Приложение для задач",medium
"Фотоаппарат",medium
"Электросамокат",medium
"Сервис для создания сайтов",medium
"Образовательная платформа",medium
"Микрофон",medium
"Смарт-часы",medium
"Клавиатура",medium
"Монитор",medium
"Сервис аналитики!",medium
"Приложение для заметок",medium
"Гаджет",medium
"Онлайн-магазин",medium
"Инструмент для работы",medium
"Сервис для задач",medium
"Продукт",medium
"Приложение",medium
"Система управления",medium
"Сервис финансов!",medium

"Товар в наличии!",low
"Продукт представлен в каталоге!",low
"Описание товара",low
"Доступен для покупки!",low
"Товар доступен",low
"Информация о продукте",low
"Описание характеристик",low
"Данный товар!",low
"Продукт включает функции!",low
"Описание модели",low
"Информация представлена",low
"Товар описывает характеристики",low
"Продукт содержит функции",low
"Описание устройства",low
"Доступен продукт",low
"Информация о модели",low
"Описание товара в каталоге",low
"Продукт представлен!",low
"Товар включает функции",low
"Описание характеристик продукта",low
"Информация о товаре",low
"Продукт содержит данные",low
"Описание устройства в каталоге",low
"Товар представлен в списке!",low
"Информация о характеристиках",low
"Описание функций",low
"Продукт доступен в продаже!",low
"Товар содержит описание!",low
"Описание товара и функций",low
"Информация о продукте представлена",low
"Описание продукта",low
"Товар описывает функции",low
"Продукт содержит описание",low
"Информация представлена в каталоге",low
"Описание устройства и функций",low
"Товар представлен в продаже",low
"Продукт включает описание",low
"Описание товара представлено",low
"Информация о товаре доступна",low
"Описание продукта в каталоге",low
